R,G,B,index
51,221,218,0
79,173,230,0
27,192,244,0
79,225,245,0
77,203,238,0
13,186,181,0
10,224,197,0
41,207,245,0
15,207,218,0
23,237,202,0
39,183,171,0
10,200,194,0
50,244,181,0
83,252,196,0
26,185,210,0
28,250,196,0
63,192,247,0
39,211,233,0
2,175,191,0
25,185,235,0
19,212,254,0
78,215,225,0
45,197,214,0
54,193,250,0
23,191,204,0
73,212,230,0
28,189,241,0
37,198,202,0
73,229,175,0
4,224,199,0
15,226,200,0
5,200,189,0
22,235,248,0
48,193,195,0
68,196,234,0
72,208,200,0
83,189,204,0
40,180,206,0
4,196,187,0
20,225,194,0
72,254,193,0
78,234,235,0
10,188,229,0
66,206,185,0
3,219,176,0
51,182,177,0
57,214,191,0
0,214,251,0
69,183,182,0
46,190,195,0
32,202,228,0
1,232,183,0
77,188,254,0
7,197,253,0
73,208,213,0
62,226,208,0
16,250,233,0
68,174,204,0
22,216,197,0
10,255,255,0
44,229,239,0
14,240,202,0
54,236,246,0
71,226,218,0
84,203,215,0
8,209,231,0
60,211,182,0
82,239,188,0
75,242,225,0
34,237,214,0
60,231,171,0
82,187,210,0
60,186,251,0
52,180,210,0
41,187,224,0
12,233,197,0
28,200,217,0
64,227,222,0
0,186,203,0
19,209,194,0
66,226,249,0
36,237,193,0
35,212,223,0
47,191,243,0
54,172,245,0
55,178,233,0
26,217,228,0
70,214,250,0
37,240,247,0
36,208,195,0
30,225,188,0
44,187,196,0
39,223,191,0
52,225,226,0
25,226,191,0
69,249,199,0
81,225,232,0
4,195,197,0
53,223,223,0
18,214,201,0
19,190,248,0
15,229,200,0
41,203,239,0
53,185,235,0
32,225,175,0
12,193,197,0
37,247,240,0
39,232,181,0
10,180,186,0
54,175,217,0
68,250,255,0
14,207,199,0
59,238,176,0
79,234,253,0
38,252,192,0
25,182,224,0
13,178,222,0
40,191,239,0
0,239,181,0
27,197,244,0
61,207,177,0
48,192,249,0
1,216,240,0
16,232,206,0
18,248,215,0
39,253,253,0
10,201,252,0
71,240,226,0
71,183,247,0
71,234,218,0
45,184,185,0
57,255,217,0
22,217,215,0
80,185,199,0
42,184,245,0
69,192,186,0
82,237,207,0
25,235,192,0
39,215,203,0
7,230,224,0
72,176,219,0
9,251,181,0
48,216,216,0
2,176,255,0
26,231,191,0
12,212,178,0
75,176,217,0
83,231,253,0
60,252,193,0
58,228,235,0
52,201,212,0
65,230,210,0
62,242,174,0
69,238,220,0
80,251,223,0
37,207,182,0
73,188,199,0
67,195,249,0
67,252,207,0
26,224,213,0
37,210,189,0
85,214,171,0
62,246,219,0
49,189,219,0
35,223,177,0
40,233,193,0
30,236,211,0
85,250,184,0
55,196,174,0
66,175,190,0
32,237,254,0
70,177,173,0
34,205,214,0
70,183,229,0
39,217,176,0
11,174,172,0
32,191,230,0
37,226,199,0
36,239,230,0
31,193,207,0
6,208,183,0
75,176,221,0
60,247,198,0
57,192,207,0
85,246,205,0
43,200,221,0
14,201,182,0
37,209,178,0
69,217,193,0
5,192,192,0
14,187,255,0
6,203,200,0
65,183,191,0
48,187,236,0
46,206,193,0
29,239,245,0
57,177,180,0
84,184,250,0
36,251,242,0
8,171,184,0
41,182,192,0
31,223,223,0
81,201,197,0
28,218,214,0
67,230,188,0
26,224,191,0
64,192,214,0
43,201,212,0
49,193,250,0
24,228,192,0
15,172,200,0
73,192,182,0
16,243,236,0
47,230,205,0
20,187,213,0
50,239,252,0
76,214,199,0
34,235,217,0
31,198,249,0
13,171,252,0
12,205,251,0
83,206,176,0
65,198,246,0
43,233,229,0
48,213,179,0
16,223,255,0
46,200,198,0
45,253,243,0
14,182,244,0
8,243,185,0
60,238,204,0
82,202,207,0
61,218,193,0
85,210,244,0
8,248,192,0
67,254,218,0
13,247,248,0
32,229,214,0
49,196,194,0
0,228,227,0
27,248,204,0
49,222,253,0
66,215,216,0
20,228,214,0
60,190,212,0
65,205,190,0
70,232,175,0
25,201,235,0
46,204,225,0
48,204,188,0
40,195,199,0
44,189,188,0
41,181,237,0
79,223,233,0
57,189,212,0
35,204,227,0
57,222,246,0
55,255,172,0
61,202,185,0
23,227,173,0
45,222,245,0
44,255,200,0
63,247,173,0
76,253,204,0
27,233,251,0
16,218,201,0
53,249,255,0
64,196,202,0
36,228,223,0
29,251,186,0
14,224,175,0
16,197,232,0
44,218,212,0
77,191,178,0
71,236,194,0
0,233,210,0
28,231,177,0
47,246,193,0
39,239,202,0
1,190,219,0
24,189,185,0
20,191,236,0
84,201,214,0
60,215,214,0
82,230,232,0
42,199,223,0
2,195,209,0
83,236,174,0
42,249,187,0
63,196,238,0
12,171,206,0
44,216,179,0
5,174,205,0
5,188,206,0
84,200,209,0
15,210,215,0
11,198,193,0
82,228,213,0
12,251,196,0
82,235,223,0
32,201,197,0
37,250,242,0
75,238,195,0
35,181,217,0
75,230,180,0
44,245,201,0
36,248,212,0
8,241,237,0
19,182,185,0
33,239,204,0
59,209,220,0
78,247,221,0
75,179,211,0
13,190,171,0
50,192,172,0
15,213,222,0
12,236,207,0
1,225,202,0
56,209,181,0
80,183,225,0
10,227,235,0
33,204,232,0
82,240,205,0
41,228,211,0
72,209,202,0
27,232,254,0
80,183,252,0
72,179,210,0
24,244,187,0
32,229,191,0
43,216,227,0
33,192,227,0
48,235,171,0
60,197,192,0
84,193,253,0
50,218,239,0
14,230,172,0
36,200,199,0
18,225,223,0
55,197,187,0
80,250,173,0
40,204,181,0
23,229,207,0
69,210,241,0
46,227,247,0
21,225,204,0
36,206,227,0
19,215,206,0
75,235,250,0
78,244,215,0
83,254,194,0
84,233,219,0
26,216,179,0
62,218,242,0
32,245,194,0
14,253,218,0
67,205,171,0
28,241,185,0
2,190,217,0
54,239,219,0
66,229,228,0
59,184,231,0
8,234,188,0
1,171,218,0
20,199,186,0
55,205,189,0
48,188,233,0
54,227,201,0
44,208,248,0
3,181,173,0
50,241,191,0
18,199,199,0
7,213,191,0
64,172,184,0
26,199,220,0
60,239,175,0
64,230,195,0
47,223,187,0
37,171,231,0
54,247,252,0
82,172,236,0
62,200,227,0
33,208,198,0
60,209,171,0
61,180,173,0
46,177,209,0
77,254,236,0
33,181,231,0
13,198,176,0
84,247,195,0
79,175,227,0
4,203,220,0
81,191,174,0
78,185,218,0
64,226,228,0
42,214,243,0
33,253,177,0
63,240,216,0
25,175,204,0
20,200,225,0
67,207,223,0
41,185,225,0
33,243,199,0
17,179,244,0
70,226,199,0
52,240,196,0
40,251,244,0
20,254,186,0
72,229,225,0
61,187,195,0
37,228,234,0
28,214,221,0
21,194,216,0
11,172,211,0
9,215,247,0
75,246,206,0
46,213,251,0
59,255,173,0
61,180,218,0
18,219,189,0
2,199,210,0
68,251,235,0
31,198,190,0
52,200,252,0
75,215,239,0
38,215,239,0
18,206,243,0
81,207,219,0
21,193,183,0
44,245,245,0
6,235,175,0
22,186,226,0
4,198,205,0
2,201,228,0
74,253,241,0
78,214,183,0
1,236,247,0
15,183,233,0
55,214,216,0
80,225,215,0
34,176,197,0
11,178,229,0
34,247,229,0
31,208,221,0
63,221,177,0
4,229,171,0
32,180,175,0
65,174,184,0
73,175,177,0
45,245,226,0
30,192,183,0
31,249,239,0
76,237,180,0
38,252,191,0
48,238,242,0
76,234,217,0
28,202,202,0
50,212,208,0
24,219,226,0
14,201,239,0
5,229,212,0
51,235,249,0
59,201,249,0
81,192,231,0
31,185,208,0
20,198,235,0
29,210,222,0
19,254,183,0
40,207,244,0
31,212,243,0
18,250,228,0
81,222,190,0
78,239,177,0
55,200,178,0
23,199,241,0
32,233,190,0
74,244,237,0
69,189,221,0
11,192,205,0
24,172,245,0
64,194,197,0
33,250,239,0
3,228,250,0
84,246,244,0
70,245,233,0
77,200,247,0
8,237,246,0
48,244,176,0
66,195,220,0
5,244,180,0
56,182,213,0
52,247,220,0
18,173,203,0
72,178,250,0
41,204,193,0
74,230,238,0
5,204,241,0
61,195,193,0
85,171,222,0
26,198,210,0
1,186,226,0
64,227,229,0
83,206,226,0
12,182,254,0
33,186,250,0
54,178,228,0
62,237,230,0
42,187,178,0
49,204,197,0
8,174,183,0
33,197,234,0
27,246,176,0
9,209,180,0
53,243,193,0
36,236,229,0
82,210,242,0
57,177,248,0
11,214,251,0
0,238,254,0
43,197,194,0
53,176,236,0
69,175,241,0
3,174,253,0
7,223,240,0
9,219,252,0
28,239,172,0
82,175,187,0
19,222,176,0
15,178,217,0
26,182,228,0
8,209,214,0
16,187,201,0
57,233,194,0
76,254,176,0
13,225,210,0
40,198,188,0
85,214,248,0
59,183,238,0
57,210,250,0
72,244,191,0
33,178,233,0
42,227,178,0
37,246,177,0
28,255,224,0
43,233,185,0
56,251,197,0
85,250,192,0
6,193,195,0
70,208,226,0
44,251,192,0
40,232,211,0
57,185,229,0
22,197,218,0
19,227,216,0
43,218,193,0
56,204,174,0
38,193,218,0
16,236,248,0
48,201,177,0
10,218,185,0
57,229,201,0
27,225,194,0
83,221,241,0
24,217,196,0
79,210,237,0
17,176,232,0
82,247,227,0
78,190,190,0
49,206,180,0
52,187,251,0
56,225,199,0
36,214,183,0
10,204,216,0
8,195,255,0
54,178,248,0
57,237,190,0
75,172,238,0
23,201,186,0
8,255,205,0
32,201,241,0
53,227,203,0
8,175,236,0
35,222,171,0
26,215,203,0
21,203,215,0
41,213,221,0
21,234,207,0
14,214,194,0
32,233,239,0
75,232,178,0
13,252,216,0
5,189,180,0
61,174,206,0
64,250,208,0
61,215,200,0
84,201,236,0
13,185,236,0
46,179,184,0
65,205,177,0
82,229,187,0
9,235,226,0
68,234,187,0
49,209,213,0
0,241,208,0
85,238,185,0
78,246,237,0
85,199,213,0
70,186,234,0
69,234,244,0
77,221,202,0
15,243,217,0
55,178,174,0
9,207,245,0
30,195,206,0
5,171,245,0
60,199,207,0
27,239,246,0
60,227,248,0
5,173,183,0
51,181,188,0
16,236,174,0
24,181,203,0
83,234,225,0
82,202,183,0
57,200,229,0
19,237,248,0
5,202,238,0
24,235,204,0
64,198,226,0
1,249,188,0
77,173,191,0
13,193,211,0
31,203,178,0
58,244,243,0
41,210,248,0
39,225,248,0
45,211,254,0
81,240,250,0
52,192,187,0
67,221,232,0
49,172,185,0
30,186,185,0
52,233,223,0
61,243,229,0
21,202,205,0
25,222,173,0
66,246,174,0
65,243,253,0
4,197,216,0
23,197,226,0
60,242,223,0
6,210,174,0
67,181,233,0
17,204,216,0
80,199,178,0
74,207,191,0
84,231,194,0
63,174,188,0
3,193,220,0
62,240,214,0
10,211,238,0
75,232,230,0
20,234,228,0
83,206,198,0
34,209,198,0
79,232,172,0
65,203,203,0
32,206,253,0
46,235,222,0
12,231,223,0
65,217,190,0
76,248,208,0
63,247,228,0
8,221,186,0
5,173,181,0
26,207,210,0
67,205,220,0
4,202,216,0
20,215,244,0
13,211,247,0
75,255,224,0
38,227,174,0
50,194,182,0
19,245,238,0
35,255,247,0
58,202,217,0
27,224,215,0
41,229,219,0
33,173,190,0
6,190,226,0
28,219,229,0
61,176,234,0
27,210,204,0
20,240,182,0
59,199,191,0
75,211,254,0
65,235,186,0
17,196,223,0
43,180,171,0
25,176,174,0
39,240,182,0
10,248,180,0
48,252,187,0
27,174,201,0
29,200,207,0
4,213,252,0
30,233,246,0
7,212,187,0
48,248,253,0
47,233,208,0
68,183,210,0
2,182,232,0
28,229,213,0
33,184,197,0
68,246,211,0
14,232,193,0
48,184,231,0
66,240,240,0
79,225,232,0
25,181,248,0
8,249,196,0
56,188,234,0
8,190,179,0
59,182,225,0
45,241,187,0
3,175,206,0
5,248,213,0
53,220,182,0
39,207,237,0
24,200,253,0
47,211,218,0
33,200,216,0
1,225,198,0
24,202,212,0
26,230,191,0
78,213,185,0
44,204,233,0
60,199,198,0
84,194,201,0
30,173,236,0
19,216,174,0
7,212,206,0
55,243,176,0
23,200,223,0
24,177,197,0
14,183,207,0
47,227,242,0
10,200,221,0
66,208,215,0
85,222,196,0
35,181,183,0
83,207,232,0
33,2,66,1
67,46,28,1
26,23,29,1
47,73,27,1
59,62,12,1
37,53,76,1
59,42,10,1
64,40,49,1
79,62,5,1
63,74,9,1
13,75,5,1
72,11,2,1
66,57,24,1
59,50,47,1
7,57,71,1
15,38,42,1
42,72,48,1
76,37,47,1
68,60,3,1
41,38,82,1
21,83,59,1
56,14,20,1
17,69,17,1
27,69,67,1
12,9,78,1
84,25,46,1
77,33,35,1
19,16,12,1
50,22,39,1
81,74,6,1
8,81,16,1
50,46,37,1
22,4,15,1
49,11,23,1
28,19,32,1
76,50,80,1
5,65,16,1
39,5,78,1
76,26,82,1
6,56,42,1
26,48,30,1
27,8,4,1
14,55,56,1
0,19,46,1
64,18,75,1
37,65,24,1
36,38,24,1
34,55,50,1
35,67,12,1
55,55,67,1
0,23,63,1
39,29,61,1
70,79,0,1
29,79,20,1
5,82,72,1
15,72,80,1
29,13,64,1
23,2,44,1
28,1,18,1
62,14,39,1
71,24,74,1
83,75,63,1
33,28,68,1
17,5,75,1
18,65,10,1
11,75,55,1
0,56,68,1
78,35,13,1
82,53,15,1
65,12,9,1
32,52,85,1
50,24,55,1
62,38,19,1
81,1,74,1
5,8,31,1
68,19,38,1
6,26,54,1
48,0,76,1
74,46,80,1
67,37,33,1
48,42,19,1
51,45,16,1
34,19,22,1
65,66,2,1
56,60,73,1
29,35,84,1
81,48,30,1
70,16,41,1
14,78,40,1
21,28,53,1
21,42,47,1
20,75,7,1
54,20,34,1
76,9,79,1
18,63,14,1
68,76,13,1
22,3,79,1
23,1,83,1
11,9,62,1
24,68,80,1
16,10,83,1
51,68,51,1
60,58,47,1
8,31,8,1
66,21,82,1
13,60,43,1
75,8,59,1
13,25,32,1
29,55,72,1
38,48,80,1
41,28,51,1
6,4,72,1
67,32,27,1
13,41,12,1
84,83,8,1
3,56,80,1
6,78,58,1
52,82,52,1
5,25,3,1
63,73,55,1
73,6,82,1
53,74,46,1
3,80,14,1
29,55,28,1
4,60,42,1
66,5,34,1
20,52,82,1
84,0,17,1
70,57,13,1
71,66,73,1
84,26,43,1
5,82,65,1
48,13,18,1
23,66,5,1
33,30,79,1
59,25,60,1
73,79,77,1
5,65,2,1
22,82,45,1
0,20,65,1
35,35,66,1
69,20,64,1
84,24,21,1
40,58,18,1
66,51,7,1
73,6,22,1
36,32,74,1
72,75,9,1
36,20,45,1
48,20,78,1
60,1,22,1
4,48,62,1
11,37,32,1
0,85,29,1
68,55,63,1
0,56,4,1
9,76,66,1
1,81,30,1
83,52,8,1
69,85,15,1
48,41,32,1
14,44,64,1
85,29,45,1
14,59,2,1
75,38,12,1
83,0,80,1
81,21,43,1
49,79,68,1
80,85,67,1
75,6,15,1
77,42,44,1
28,57,81,1
17,61,71,1
34,5,11,1
35,23,55,1
84,76,39,1
43,14,1,1
2,54,69,1
29,58,62,1
42,10,67,1
60,40,64,1
71,17,10,1
30,64,20,1
30,11,10,1
58,47,75,1
73,59,2,1
26,39,36,1
10,25,16,1
10,38,27,1
73,12,72,1
8,67,35,1
18,15,17,1
66,79,35,1
14,27,36,1
38,61,56,1
19,41,13,1
74,52,82,1
3,24,58,1
35,85,72,1
58,21,5,1
4,49,78,1
19,18,84,1
1,37,52,1
46,67,40,1
78,28,51,1
55,36,69,1
59,13,13,1
5,72,39,1
22,27,13,1
0,40,49,1
61,55,84,1
53,78,23,1
80,42,43,1
37,11,10,1
84,85,13,1
77,56,80,1
82,13,57,1
38,52,44,1
77,40,12,1
29,55,25,1
48,24,1,1
41,26,56,1
47,46,52,1
15,78,77,1
75,75,58,1
32,60,33,1
18,45,36,1
31,6,39,1
72,23,68,1
43,42,43,1
77,14,52,1
82,51,44,1
64,8,68,1
26,63,16,1
82,59,27,1
47,57,3,1
64,22,14,1
46,71,32,1
7,19,15,1
59,30,8,1
68,7,10,1
72,0,54,1
54,71,29,1
85,33,36,1
70,68,47,1
83,2,20,1
35,38,26,1
5,82,30,1
2,59,82,1
51,19,16,1
11,14,23,1
2,4,74,1
17,35,80,1
27,4,63,1
84,45,49,1
15,67,27,1
18,72,53,1
10,14,17,1
31,42,56,1
70,83,11,1
24,41,69,1
57,36,72,1
62,53,65,1
21,29,53,1
15,21,30,1
46,38,39,1
53,30,45,1
44,49,28,1
60,21,40,1
17,9,55,1
69,84,19,1
11,58,13,1
24,24,29,1
16,60,18,1
16,25,66,1
12,49,4,1
38,22,37,1
55,38,81,1
59,31,80,1
17,80,75,1
67,28,15,1
59,18,50,1
59,20,76,1
21,48,73,1
24,27,77,1
8,39,34,1
63,67,28,1
27,68,35,1
24,27,75,1
58,77,35,1
53,59,84,1
33,80,36,1
53,31,2,1
44,29,44,1
49,44,82,1
33,69,22,1
35,0,51,1
26,72,10,1
66,27,28,1
73,11,42,1
65,47,59,1
22,5,83,1
78,18,47,1
20,69,8,1
61,54,9,1
74,4,58,1
32,14,65,1
28,34,36,1
12,45,53,1
11,57,71,1
34,72,80,1
42,31,15,1
17,23,63,1
25,26,27,1
25,62,60,1
38,29,44,1
80,0,48,1
79,39,74,1
18,68,78,1
81,33,52,1
39,18,59,1
25,0,77,1
25,59,44,1
47,16,30,1
3,33,59,1
39,48,59,1
75,49,20,1
27,75,29,1
44,51,6,1
23,77,42,1
54,14,65,1
54,58,48,1
65,30,20,1
37,81,81,1
19,17,32,1
9,12,56,1
51,70,26,1
60,83,53,1
67,48,14,1
57,33,48,1
54,50,11,1
10,25,59,1
15,48,29,1
55,13,36,1
85,12,6,1
26,40,10,1
59,45,29,1
80,73,21,1
85,33,55,1
49,68,60,1
57,52,54,1
42,58,38,1
73,63,51,1
80,44,68,1
59,56,8,1
33,83,49,1
2,48,50,1
76,14,8,1
79,65,84,1
1,27,79,1
16,25,38,1
20,19,80,1
19,48,76,1
10,70,52,1
74,3,38,1
84,60,65,1
25,48,72,1
64,3,57,1
78,84,41,1
33,2,82,1
20,3,58,1
25,36,77,1
13,24,78,1
20,30,20,1
0,43,73,1
83,44,7,1
61,67,80,1
5,67,66,1
65,59,2,1
11,74,3,1
80,74,7,1
23,74,10,1
26,68,68,1
27,65,53,1
38,33,24,1
55,81,34,1
71,41,43,1
0,59,61,1
26,25,27,1
62,28,36,1
8,7,67,1
44,84,77,1
26,85,66,1
2,80,72,1
50,2,64,1
42,65,70,1
9,80,26,1
70,4,40,1
28,22,80,1
15,30,61,1
26,2,18,1
76,50,12,1
85,34,22,1
64,26,46,1
52,74,20,1
53,45,15,1
58,21,69,1
33,68,81,1
23,80,41,1
9,27,45,1
23,42,78,1
85,15,36,1
2,59,28,1
64,48,49,1
23,43,48,1
17,27,36,1
31,25,70,1
52,3,6,1
50,23,47,1
54,83,52,1
18,29,42,1
35,77,58,1
46,27,73,1
21,64,16,1
21,24,70,1
72,10,28,1
52,54,30,1
44,19,16,1
11,11,77,1
22,64,70,1
42,62,9,1
61,41,40,1
12,6,66,1
30,9,18,1
85,81,57,1
32,20,55,1
45,50,12,1
24,8,41,1
80,59,70,1
22,4,11,1
85,39,27,1
53,0,18,1
85,84,17,1
80,23,28,1
76,81,49,1
44,22,61,1
16,55,85,1
25,35,29,1
13,38,18,1
7,15,31,1
78,83,42,1
32,14,24,1
23,14,30,1
51,36,41,1
3,39,21,1
54,24,57,1
50,3,6,1
77,2,57,1
14,24,21,1
72,44,15,1
57,32,26,1
64,52,47,1
6,45,78,1
19,55,78,1
22,29,16,1
19,61,20,1
37,75,63,1
56,24,6,1
51,2,17,1
11,6,72,1
74,85,49,1
12,12,10,1
40,42,74,1
65,27,37,1
71,44,71,1
65,38,27,1
49,29,81,1
72,47,42,1
63,82,62,1
24,62,57,1
77,72,53,1
12,24,45,1
44,52,73,1
78,0,21,1
68,83,11,1
71,20,79,1
53,69,17,1
13,77,55,1
33,38,57,1
67,21,71,1
24,14,11,1
37,77,30,1
68,70,13,1
51,66,23,1
23,27,40,1
24,16,57,1
46,12,23,1
73,6,40,1
8,46,14,1
48,34,9,1
51,28,74,1
71,20,70,1
78,8,58,1
35,41,83,1
41,43,70,1
61,65,64,1
37,10,19,1
17,40,65,1
21,34,12,1
81,54,47,1
43,79,4,1
32,11,15,1
17,84,41,1
14,18,76,1
46,3,0,1
76,9,56,1
29,56,36,1
8,44,85,1
43,41,52,1
76,43,0,1
44,46,84,1
63,63,67,1
34,15,43,1
21,25,78,1
46,38,72,1
9,21,42,1
56,25,9,1
61,60,31,1
48,18,15,1
78,63,20,1
45,11,10,1
17,79,21,1
0,78,50,1
39,2,84,1
51,1,55,1
72,80,21,1
75,40,30,1
28,2,60,1
32,33,69,1
72,67,35,1
37,80,29,1
53,21,24,1
0,67,67,1
18,19,15,1
52,58,82,1
36,36,16,1
26,4,71,1
67,71,79,1
26,51,38,1
30,31,52,1
30,9,56,1
18,59,12,1
3,11,48,1
82,77,68,1
24,19,8,1
36,6,80,1
77,63,3,1
82,21,85,1
32,49,79,1
48,0,9,1
37,80,65,1
7,64,48,1
2,40,61,1
68,58,27,1
74,75,13,1
62,80,69,1
14,15,9,1
21,50,3,1
57,33,75,1
76,69,34,1
72,78,62,1
41,22,62,1
58,79,64,1
63,5,18,1
54,38,67,1
71,62,17,1
29,20,43,1
8,28,29,1
71,79,78,1
39,22,40,1
51,55,80,1
1,1,41,1
10,1,75,1
37,21,45,1
82,51,50,1
47,76,60,1
45,0,11,1
38,3,33,1
39,84,33,1
75,54,24,1
81,35,20,1
9,74,57,1
74,18,11,1
17,24,66,1
21,79,44,1
35,19,23,1
0,24,58,1
61,53,48,1
15,9,80,1
74,19,22,1
70,80,64,1
79,2,0,1
20,79,54,1
51,28,61,1
37,17,41,1
51,80,40,1
4,82,5,1
66,26,53,1
75,79,37,1
45,17,40,1
29,8,56,1
70,37,27,1
15,24,62,1
79,65,80,1
76,3,66,1
16,22,8,1
63,61,61,1
59,2,4,1
10,15,25,1
0,84,28,1
73,43,4,1
3,10,72,1
51,64,34,1
58,26,81,1
56,49,48,1
14,37,1,1
72,14,27,1
53,18,22,1
67,83,77,1
8,31,18,1
2,20,14,1
54,17,34,1
60,76,7,1
4,23,74,1
35,4,12,1
37,53,2,1
55,7,62,1
56,78,47,1
25,38,84,1
84,29,66,1
55,32,76,1
29,62,6,1
28,23,40,1
84,70,73,1
68,31,16,1
52,25,37,1
9,32,51,1
75,22,78,1
49,83,12,1
72,14,41,1
53,22,67,1
54,8,63,1
40,56,51,1
36,7,60,1
43,20,12,1
5,10,11,1
36,57,66,1
53,20,67,1
66,4,32,1
22,3,63,1
0,51,69,1
27,59,20,1
9,7,2,1
84,61,77,1
39,8,27,1
26,79,37,1
48,75,17,1
24,75,68,1
12,14,16,1
9,27,70,1
69,53,40,1
33,10,20,1
29,18,42,1
23,76,77,1
64,23,84,1
75,62,6,1
79,72,15,1
29,38,62,1
13,8,53,1
1,74,56,1
51,51,56,1
66,77,2,1
4,57,70,1
12,13,78,1
8,60,36,1
57,75,14,1
32,40,8,1
21,26,63,1
69,48,28,1
77,84,30,1
66,39,15,1
10,31,67,1
63,75,21,1
2,37,74,1
2,2,81,1
9,47,55,1
81,6,23,1
5,1,62,1
61,46,54,1
34,13,18,1
78,85,67,1
82,78,85,1
25,8,24,1
57,73,11,1
52,67,64,1
78,33,61,1
50,20,36,1
65,7,57,1
35,3,42,1
67,3,61,1
56,28,80,1
1,51,29,1
31,42,51,1
68,67,27,1
32,61,63,1
84,14,15,1
48,45,11,1
76,20,37,1
62,63,40,1
9,20,39,1
49,0,79,1
29,21,26,1
76,44,66,1
26,16,57,1
52,77,40,1
30,77,7,1
79,1,40,1
67,50,57,1
79,40,4,1
48,83,7,1
70,75,66,1
11,61,65,1
23,15,82,1
57,67,60,1
49,12,34,1
56,14,84,1
5,48,52,1
61,80,13,1
39,52,21,1
59,83,37,1
27,77,60,1
73,58,12,1
73,65,11,1
69,52,39,1
5,44,66,1
26,64,7,1
1,12,41,1
66,36,50,1
